0, 0, 0, 0, 0, i, i, i, i, i, i, i, i
0, 0, 0, 0, i, i, d, i, i, i, i, i, i
0, 0, 0, i, i, d, d, d, i, i, i, i, i
0, 0, i, d, i, d, d, i, i, i, i, d, i
0, i, i, d, i, d, d, d, d, i, i, i, i
0, i, d, d, d, d, d, i, d, d, i, d, 0
i, d, d, d, d, d, d, d, d, i, i, i, 0
d, i, d, i, d, d, d, d, d, i, i, 0, 0
d, i, d, d, d, i, i, i, i, i, 0, 0, 0
i, d, d, i, d, d, i, i, i, 0, 0, 0, 0
d, i, d, d, d, d, i, i, 0, 0, 0, 0, 0
0, d, d, d, d, i, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, i, i, i, i, 0
0, 0, 0, 0, 0, i, i, i, i, i, i, i, i
0, 0, 0, 0, i, i, d, i, i, i, i, i, i
0, 0, 0, i, i, d, d, d, i, i, i, d, i
0, 0, i, d, i, d, d, i, i, i, i, d, i
0, i, i, d, i, d, d, d, d, i, i, i, i
0, d, d, d, d, d, d, i, d, d, i, d, 0
i, d, d, d, d, d, d, d, d, i, i, i, 0
d, i, d, d, d, d, d, d, d, i, i, 0, 0
d, i, d, d, d, i, i, i, i, i, 0, 0, 0
i, d, d, i, d, d, i, d, i, 0, 0, 0, 0
d, i, d, d, d, d, i, i, 0, 0, 0, 0, 0
0, d, d, d, d, i, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, i, i, d, i, 0
0, 0, 0, 0, 0, i, i, i, i, i, i, i, i
0, 0, 0, 0, i, i, d, d, d, i, i, i, i
0, 0, 0, i, i, d, d, d, i, i, i, d, i
0, 0, d, d, i, d, d, i, i, i, i, d, i
0, i, i, d, i, d, d, d, d, i, i, i, d
0, d, d, d, d, d, d, i, d, d, i, d, 0
i, d, d, d, d, d, d, d, d, d, i, i, 0
d, i, d, d, d, d, d, d, d, i, d, 0, 0
d, i, d, d, d, i, i, i, i, i, 0, 0, 0
i, d, d, d, d, d, i, d, i, 0, 0, 0, 0
d, d, d, d, d, d, i, i, 0, 0, 0, 0, 0
0, d, d, d, d, i, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, i, i, d, i, 0
0, 0, 0, 0, 0, i, i, i, i, i, d, i, i
0, 0, 0, 0, i, i, d, d, d, i, i, i, d
0, 0, 0, i, i, d, d, d, i, i, i, d, i
0, 0, d, d, i, d, d, i, i, i, i, d, i
0, i, i, d, i, d, d, d, d, i, i, i, d
0, d, d, d, d, d, d, d, d, d, i, d, 0
i, d, d, d, d, d, d, d, d, d, i, i, 0
d, i, d, d, d, d, d, d, d, i, d, 0, 0
d, i, d, d, d, i, i, i, i, i, 0, 0, 0
i, d, d, d, d, d, i, d, i, 0, 0, 0, 0
d, d, d, d, d, d, i, d, 0, 0, 0, 0, 0
0, d, d, d, d, i, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, d, i, d, i, 0
0, 0, 0, 0, 0, i, i, i, i, i, d, i, d
0, 0, 0, 0, i, i, d, d, d, i, i, i, d
0, 0, 0, i, i, d, d, d, i, d, i, d, i
0, 0, d, d, i, d, d, d, i, i, i, d, i
0, i, i, d, i, d, d, d, d, i, i, i, d
0, d, d, d, d, d, d, d, d, d, i, d, 0
i, d, d, d, d, d, d, d, d, d, i, i, 0
d, i, d, d, d, d, d, d, d, i, d, 0, 0
d, i, d, d, d, i, i, d, i, i, 0, 0, 0
d, d, d, d, d, d, i, d, i, 0, 0, 0, 0
d, d, d, d, d, d, i, d, 0, 0, 0, 0, 0
0, d, d, d, d, i, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, d, d, i, d, i, 0
0, 0, 0, 0, 0, i, i, d, i, i, d, i, d
0, 0, 0, 0, i, d, d, d, d, i, d, i, d
0, 0, 0, i, i, d, d, d, i, d, i, d, i
0, 0, d, d, i, d, d, d, i, i, i, d, i
0, i, i, d, i, d, d, d, d, d, i, i, d
0, d, d, d, d, d, d, d, d, d, i, d, 0
i, d, d, d, d, d, d, d, d, d, d, i, 0
d, d, d, d, d, d, d, d, d, i, d, 0, 0
d, i, d, d, d, i, i, d, i, i, 0, 0, 0
d, d, d, d, d, d, i, d, i, 0, 0, 0, 0
d, d, d, d, d, d, i, d, 0, 0, 0, 0, 0
0, d, d, d, d, i, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, d, d, i, d, i, 0
0, 0, 0, 0, 0, i, i, d, i, d, d, i, d
0, 0, 0, 0, i, d, d, d, d, d, d, i, d
0, 0, 0, i, i, d, d, d, i, d, d, d, i
0, 0, d, d, i, d, d, d, i, i, i, d, i
0, i, i, d, i, d, d, d, d, d, i, i, d
0, d, d, d, d, d, d, d, d, d, i, d, 0
i, d, d, d, d, d, d, d, d, d, d, i, 0
d, d, d, d, d, d, d, d, d, i, d, 0, 0
d, i, d, d, d, i, d, d, i, i, 0, 0, 0
d, d, d, d, d, d, d, d, i, 0, 0, 0, 0
d, d, d, d, d, d, i, d, 0, 0, 0, 0, 0
0, d, d, d, d, i, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, d, d, i, d, i, 0
0, 0, 0, 0, 0, i, i, d, i, d, d, i, d
0, 0, 0, 0, i, d, d, d, d, d, d, i, d
0, 0, 0, i, i, d, d, d, i, d, d, d, i
0, 0, d, d, i, d, d, d, i, i, i, d, i
0, d, i, d, i, d, d, d, d, d, i, d, d
0, d, d, d, d, d, d, d, d, d, i, d, 0
i, d, d, d, d, d, d, d, d, d, d, i, 0
d, d, d, d, d, d, d, d, d, i, d, 0, 0
d, i, d, d, d, i, d, d, d, i, 0, 0, 0
d, d, d, d, d, d, d, d, i, 0, 0, 0, 0
d, d, d, d, d, d, i, d, 0, 0, 0, 0, 0
0, d, d, d, d, i, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, d, d, i, d, i, 0
0, 0, 0, 0, 0, i, i, d, d, d, d, i, d
0, 0, 0, 0, i, d, d, d, d, d, d, i, d
0, 0, 0, i, i, d, d, d, i, d, d, d, i
0, 0, d, d, i, d, d, d, i, d, i, d, i
0, d, i, d, d, d, d, d, d, d, i, d, d
0, d, d, d, d, d, d, d, d, d, i, d, 0
i, d, d, d, d, d, d, d, d, d, d, d, 0
d, d, d, d, d, d, d, d, d, i, d, 0, 0
d, d, d, d, d, i, d, d, d, i, 0, 0, 0
d, d, d, d, d, d, d, d, i, 0, 0, 0, 0
d, d, d, d, d, d, i, d, 0, 0, 0, 0, 0
0, d, d, d, d, d, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, d, d, d, d, i, 0
0, 0, 0, 0, 0, i, d, d, d, d, d, i, d
0, 0, 0, 0, i, d, d, d, d, d, d, i, d
0, 0, 0, i, i, d, d, d, i, d, d, d, i
0, 0, d, d, d, d, d, d, d, d, i, d, i
0, d, i, d, d, d, d, d, d, d, i, d, d
0, d, d, d, d, d, d, d, d, d, i, d, 0
i, d, d, d, d, d, d, d, d, d, d, d, 0
d, d, d, d, d, d, d, d, d, i, d, 0, 0
d, d, d, d, d, d, d, d, d, i, 0, 0, 0
d, d, d, d, d, d, d, d, d, 0, 0, 0, 0
d, d, d, d, d, d, i, d, 0, 0, 0, 0, 0
0, d, d, d, d, d, 0, 0, 0, 0, 0, 0, 0
